plate	round	well	tile	channel
1	1	A1	0	AF750
1	1	A1	0	CY3
1	1	A1	0	CY5
1	1	A1	0	DAPI
1	1	A1	0	GFP
1	1	A1	1	AF750
1	1	A1	1	CY3
1	1	A1	1	CY5
1	1	A1	1	DAPI
1	1	A1	1	GFP
1	1	A1	2	AF750
1	1	A1	2	CY3
1	1	A1	2	CY5
1	1	A1	2	DAPI
1	1	A1	2	GFP
1	1	A1	3	AF750
1	1	A1	3	CY3
1	1	A1	3	CY5
1	1	A1	3	DAPI
1	1	A1	3	GFP
1	1	A1	4	AF750
1	1	A1	4	CY3
1	1	A1	4	CY5
1	1	A1	4	DAPI
1	1	A1	4	GFP
1	1	A1	5	AF750
1	1	A1	5	CY3
1	1	A1	5	CY5
1	1	A1	5	DAPI
1	1	A1	5	GFP
1	1	A1	6	AF750
1	1	A1	6	CY3
1	1	A1	6	CY5
1	1	A1	6	DAPI
1	1	A1	6	GFP
1	1	A1	7	AF750
1	1	A1	7	CY3
1	1	A1	7	CY5
1	1	A1	7	DAPI
1	1	A1	7	GFP
1	1	A1	8	AF750
1	1	A1	8	CY3
1	1	A1	8	CY5
1	1	A1	8	DAPI
1	1	A1	8	GFP
1	1	A1	9	AF750
1	1	A1	9	CY3
1	1	A1	9	CY5
1	1	A1	9	DAPI
1	1	A1	9	GFP
1	1	A1	10	AF750
1	1	A1	10	CY3
1	1	A1	10	CY5
1	1	A1	10	DAPI
1	1	A1	10	GFP
1	1	A1	11	AF750
1	1	A1	11	CY3
1	1	A1	11	CY5
1	1	A1	11	DAPI
1	1	A1	11	GFP
1	1	A1	12	AF750
1	1	A1	12	CY3
1	1	A1	12	CY5
1	1	A1	12	DAPI
1	1	A1	12	GFP
1	1	A1	13	AF750
1	1	A1	13	CY3
1	1	A1	13	CY5
1	1	A1	13	DAPI
1	1	A1	13	GFP
1	1	A1	14	AF750
1	1	A1	14	CY3
1	1	A1	14	CY5
1	1	A1	14	DAPI
1	1	A1	14	GFP
1	1	A1	15	AF750
1	1	A1	15	CY3
1	1	A1	15	CY5
1	1	A1	15	DAPI
1	1	A1	15	GFP
1	1	A1	16	AF750
1	1	A1	16	CY3
1	1	A1	16	CY5
1	1	A1	16	DAPI
1	1	A1	16	GFP
1	1	A1	17	AF750
1	1	A1	17	CY3
1	1	A1	17	CY5
1	1	A1	17	DAPI
1	1	A1	17	GFP
1	1	A1	18	AF750
1	1	A1	18	CY3
1	1	A1	18	CY5
1	1	A1	18	DAPI
1	1	A1	18	GFP
1	1	A1	19	AF750
1	1	A1	19	CY3
1	1	A1	19	CY5
1	1	A1	19	DAPI
1	1	A1	19	GFP
1	1	A1	20	AF750
1	1	A1	20	CY3
1	1	A1	20	CY5
1	1	A1	20	DAPI
1	1	A1	20	GFP
1	1	A1	21	AF750
1	1	A1	21	CY3
1	1	A1	21	CY5
1	1	A1	21	DAPI
1	1	A1	21	GFP
1	1	A1	22	AF750
1	1	A1	22	CY3
1	1	A1	22	CY5
1	1	A1	22	DAPI
1	1	A1	22	GFP
1	1	A1	23	AF750
1	1	A1	23	CY3
1	1	A1	23	CY5
1	1	A1	23	DAPI
1	1	A1	23	GFP
1	1	A1	24	AF750
1	1	A1	24	CY3
1	1	A1	24	CY5
1	1	A1	24	DAPI
1	1	A1	24	GFP
1	1	A1	25	AF750
1	1	A1	25	CY3
1	1	A1	25	CY5
1	1	A1	25	DAPI
1	1	A1	25	GFP
1	1	A1	26	AF750
1	1	A1	26	CY3
1	1	A1	26	CY5
1	1	A1	26	DAPI
1	1	A1	26	GFP
1	1	A1	27	AF750
1	1	A1	27	CY3
1	1	A1	27	CY5
1	1	A1	27	DAPI
1	1	A1	27	GFP
1	1	A1	28	AF750
1	1	A1	28	CY3
1	1	A1	28	CY5
1	1	A1	28	DAPI
1	1	A1	28	GFP
1	1	A1	29	AF750
1	1	A1	29	CY3
1	1	A1	29	CY5
1	1	A1	29	DAPI
1	1	A1	29	GFP
1	1	A1	30	AF750
1	1	A1	30	CY3
1	1	A1	30	CY5
1	1	A1	30	DAPI
1	1	A1	30	GFP
1	1	A1	31	AF750
1	1	A1	31	CY3
1	1	A1	31	CY5
1	1	A1	31	DAPI
1	1	A1	31	GFP
1	1	A1	32	AF750
1	1	A1	32	CY3
1	1	A1	32	CY5
1	1	A1	32	DAPI
1	1	A1	32	GFP
1	1	A1	33	AF750
1	1	A1	33	CY3
1	1	A1	33	CY5
1	1	A1	33	DAPI
1	1	A1	33	GFP
1	1	A1	34	AF750
1	1	A1	34	CY3
1	1	A1	34	CY5
1	1	A1	34	DAPI
1	1	A1	34	GFP
1	1	A1	35	AF750
1	1	A1	35	CY3
1	1	A1	35	CY5
1	1	A1	35	DAPI
1	1	A1	35	GFP
1	1	A1	36	AF750
1	1	A1	36	CY3
1	1	A1	36	CY5
1	1	A1	36	DAPI
